"week","Collector","Draft","Set","Hasbro","SP500","Volume"
7,5.40132511662227,4.5933000134176,4.78590715465181,4.53571292097287,8.39284917954941,14.3458211115071
8,5.58342111798502,4.63870166919688,4.79760707652314,4.50468664740977,8.36657958210656,13.9087276396754
9,5.48889640298885,4.59370470787881,4.77153172320332,4.5152454784601,8.3783494273863,13.8345678094977
10,5.42653466434879,4.59208494643944,4.74745069324486,4.44394453748887,8.34823001286517,13.8387191431012
11,5.45005084157397,4.56434819146784,4.74727720261292,4.44676044924045,8.37416311450231,14.2078363892651
12,5.61637101764523,4.75789127300576,4.86275381061584,4.42448728586265,8.41148817197935,14.0969230174025
13,5.63806993129082,4.75246887300897,4.86976273521484,4.3943256902609,8.42883618219679,14.5520907214457
14,5.62632531047138,4.87229234447451,4.87114331527766,4.40256428589143,8.41526677249269,14.0228986411739
15,5.61130162186204,4.73838902977431,4.87405162897615,4.38974675768902,8.39214910804102,13.8351416019134
16,5.60752851629964,4.73162660994065,4.84505285330658,4.42998311809474,8.3883957189467,14.2136287434094
17,5.71518389738064,5.17139267297437,4.84119047511598,4.45527709641347,8.34639063545919,14.189333628736
18,5.7084382861924,5.15917023513788,4.82398437914107,4.49032034430915,8.33812633234278,13.9006050989971
19,5.61862392557488,5.04812373850725,4.79090258590413,4.46014441393783,8.2881045027424,13.9895478951705
20,5.47541697936084,4.95624950356966,4.77026080585368,4.45933483776455,8.28514511220626,14.0601181008425
21,5.4424609996281,4.9578672285576,4.72827238312207,4.40696311996391,8.29953705665472,13.8430089866661
22,5.39834368061516,4.92812287252179,4.6572881402502,4.46233853688055,8.32595520111301,13.9530744341871
23,5.34672650575572,4.98927545497485,4.73943880679313,4.44112067398159,8.30975319137891,13.360088104796
24,5.42767757185374,5.04735287703142,4.72570498761683,4.35773394210484,8.22237639390383,13.9899007444319
25,5.39312742131068,5.0041476279607,4.71939133007811,4.39197696552705,8.24486990005777,13.7039922329657
26,5.38975642686482,5.00669420486299,4.72001557765713,4.39210072024536,8.25068274339682,13.486145008912
27,5.41218162269708,4.98422287014442,4.70555836001936,4.38974675768902,8.26091158998828,13.6577450190662
28,5.4254344816075,4.98031353420987,4.68314922730468,4.35837410600865,8.24949934995024,13.8828887932942
29,5.45369586372755,4.96242496179183,4.67506931336776,4.36703989236556,8.27832667963679,14.4394362694823
30,5.43651286529944,4.96967440104116,4.6726419011031,4.33519704731708,8.29974339984395,14.4310528901887
31,5.43114225966054,4.94875989037817,4.67432304467641,4.34406512838676,8.32661847076611,13.701288673874
32,5.42640270631126,4.94790846418795,4.72330871400513,4.3435456478556,8.34094276794009,13.3749569871836
33,5.41610040220442,4.9503189580882,4.70048036579242,4.38626762893114,8.36117543635494,13.6752825069774
34,5.40109956119106,4.93497740349052,4.66126692533996,4.38626762893114,8.32672252060366,13.5197694317335
35,5.35950653486046,4.89095045115028,4.68499748584765,4.34821128617915,8.28717103665995,13.5378052186574
36,5.31983421001029,4.85218650171386,4.67180026828585,4.35349855105934,8.29164675548572,13.7625579930115
37,5.32520269532942,4.85242081264553,4.66381638142082,4.35118075450278,8.28216934807131,13.9836993831812
38,5.29410852177398,4.83509072158132,4.62957007281163,4.28579102679306,8.24259580651296,13.6935914806679
39,5.28568795014789,4.82510860635335,4.63210418722817,4.21212759787848,8.20234271078655,13.7850101125159
40,5.282543612432,4.82157105643491,4.63976483075259,4.21227573505378,8.2234554872481,14.6846342077583
41,5.268785563942,4.82132940352786,4.63288262455463,4.18965474202643,8.19042373025641,14.1219653157393
42,5.26703307650827,4.81372787897388,4.63346605514294,4.16060035799917,8.21671492916003,14.6200649360984
43,5.25718282318948,4.78973921532253,4.64246597073179,4.16542414390305,8.25298803354377,14.1053552901807
44,5.24275180109833,4.77119296981254,4.62917963844844,4.13532654394372,8.24160831856236,14.0761194364891
45,5.22122031616307,4.76234486036009,4.6193689053879,4.10082352831981,8.26012050183894,14.2685078965178
46,5.22612294699955,4.76745908903181,4.61927031036687,4.04777692640577,8.28499123636358,14.756876268342
47,5.21014167564431,4.76456423813834,4.63278535302106,4.10165113740454,8.29448204660086,13.840910237597
48,5.19982211979894,4.76669362014476,4.63005790149587,4.12584322928147,8.30151917354807,14.3701080610589
49,5.19512117371959,4.75177820562418,4.62055128802639,4.0936776732344,8.28257910432267,14.2757668357551
50,5.18481266575122,4.7558290622732,4.62005879848184,4.07465192887636,8.28165565094646,14.5609655181476
51,5.18262589205184,4.75298656068231,4.63366045638772,4.02873880512411,8.25244348404079,14.5958990890679
52,5.17874523140719,4.75548494664696,4.62192896980305,4.07838454264337,8.24939478872824,14.0110362222418
53,5.17592371833397,4.76285746182369,4.64092335569391,4.13212192655613,8.25454708723567,14.2978904098406
54,5.17970273521179,4.75359019110636,4.63239617224168,4.16557936315055,8.28213898907619,14.0368765303207
55,5.17773040355892,4.75056838867745,4.63531134290008,4.14091003136942,8.28091880680883,14.1319258492389
